Description,Item,Unit,Cost
MAQ ZONTA RTO-TRONZADOR,451100184,PZ,384.8
MECHA EZETA COLA CONICA 56.00 MM,424588242,PZ,385.39
MECHA EZETA COLA CONICA 25.50 MM,450802594,PZ,385.74
COLA A-20 SINTETICA x     1/2  KG,451305567,PZ,386.08
MECHA EZETA CILINDRICA A/R  0.50 MM,450906113,PZ,390
TEJ ROMBO ACINDAR 150-50-14-10 ML,451305240,PZ,390.45
MACHO URANGA A/RAPIDO BSP  1/8 x 28,450805146,PZ,390.92
COLA A-20 SINTETICA x     800  GR,451305568,PZ,391.59
CORREA SECCION A N.43,450812128,PZ,393.64
PICO GHERARDI PTA-PALA 102 MM,450813446,PZ,394.38
DESINFECT ALLEMANDI LAVANDA 12x1 LT,451305378,PZ,395.01
PITON HO PUL ESCUAD  25 - 100 x  50,424572429,PZ,396.18
MECHA EZETA COLA CONICA 43.00 MM,450819339,PZ,400
TORNILLO TIRAFONDO GALV 1/4 x2,451305299,PZ,403.18
TORNILLO TIRAFONDO GALV 1/4 x4 1/2,451305307,PZ,403.18
LIMPIAMANOS ALLEMANDI POLVO 24x400G,451305367,PZ,403.18
TOPE AUTOADHESIVO RECTANGULAR,450812911,PZ,408.32
TORNILLO TIRAFONDO GALV 1/4 x3,451305303,PZ,408.69
MACHO URANGA A/RAPIDO M  7 x 0.75,451305308,PZ,408.69
LIMPIAMANOS ALLEMANDI POLVO 12x850G,451305368,PZ,408.69
COLA A-20 SINTETICA x  1       KG,451305569,PZ,408.69
CLAVO C/CHATA 10-30,413063116,PZ,408.77
CADENA P/PERRO N.10 LARGO 2.20 MT,424582566,PQ,409.41
CARRETILLA CUART TELESCOPICA  70 LT,424564916,PZ,410.07
CANASTO CHAPA P/ALBAÃ‘IL 1 PZA,424564917,PZ,410.07
PITON HO PUL ESCUAD  20 -  40 x 100,424561623,PZ,413.13
COLA T-15 P/TELGOPOR  1    KG,451305518,PZ,414.2
COLA A-20 SINTETICA x  6       KG,451305570,PZ,414.2
CLAVO C/PLOMO  63 MM x 100 U,424580017,PZ,415.9
MECHA EZETA CILIND TITANIO  4.00 MM,450303111,PZ,416
CORREA SECCION A N.39,450811590,PZ,416
CAÃ‘O CRISTAL 25 - 31  x  25 MT,450803419,PZ,418.89
BROCA MANUAL - MANGO BTU12 1/2,450812993,PZ,419.58
RIEGO ACOPLE RAPIDO H 1/2,450813960,PZ,425.22
CHAIRA BIASSONI LISA 12 - 305 MM,424580039,PZ,425.57
TABLA PLANCHAR ECO C/POSA PLANCHA,424585130,PZ,425.57
CADENA P/PERRO N.11 LARGO 2.20 MT,424580023,PZ,425.98
CANDADO 606 40MM JGO  6 PZS MAESTRO,451305603,PZ,431.68
CORREA SECCION A N.58,450800788,PZ,435.4
GANCHO CONTRA VIENTO 24 -  90 x 15,450905296,PZ,436.8
COLA T-15 P/TELGOPOR  6    KG,451305519,PZ,437.19
CALEFACTOR P/MICROGARRAFA,450800898,PZ,437.56
CLAVO P/PARIS FRACC  7,450813645,PZ,437.83
MACHO URANGA A/RAPIDO M 12 x 1.50,450811339,PZ,438.26
CLAVO C/CHATA 12-30,450818796,PZ,440
HILO ALGODON CRUDO 10 x 100 GR,450302953,PZ,441.15
TORNILLO TIRAFONDO GALV 5/16x2 3/4,451305316,PZ,442.7
TORNILLO TIRAFONDO GALV 5/16x3 1/4,451305318,PZ,442.7
MACHO URANGA A/RAPIDO M  6 x 0.50,451305550,PZ,442.7
CAÃ‘O ALTA PRESION ROJO 10 MM x50 MT,451305628,PZ,442.7
CLAVO ESCUADRA PUL 24 - 110,451300793,PZ,444.23
REGADERA CHAPA GALV RTO-FLOR,424572631,PZ,445.74
PITON HO PUL ESCUAD  19 -  50 x 100,424590997,PZ,445.94
CAÃ‘O RIEGO BLUE 1     x 25 MT,451305577,PZ,446.12
MECHA EZETA COLA CONICA 43.25 MM,450819917,PZ,450
MECHA EZETA COLA CONICA 43.50 MM,450819918,PZ,450
CURVA CHAPA GALV CORRUGADA 3 ANG 90,450409214,PZ,451.348842252
CORREA SECCION A N.38,450813116,PZ,453.65
ABRAZ AMERICANA 3002/5  30 -  40 MM,450802761,PZ,453.66
CINTA EVEL 110 STANDARD    10 MT,422000834,PZ,456.65
GRAMPA P/CERCO  8-38 MM,450803321,PZ,456.72
TORNILLO TIRAFONDO GALV 5/16x3,451305317,PZ,459.42
TORNILLO TIRAFONDO GALV 5/16x3 1/2,451305319,PZ,459.42
MECHA EZETA COLA CONICA  9.50 MM,450812916,PZ,461.06
TOR P/AGUJ C/TROMP P/MAD  8 x 3,450409102,PZ,462.407925676
TOR P/AGUJ C/TROMP P/MAD 10 x 1 1/2,450409103,PZ,462.407925676
TENAZA GHERARDI ARMAD N.12 ME CORTE,424595668,PZ,464.39
SOMBRERETE DOBLE ALA GALV 6,450409207,PZ,466.670280746
SOMBRERETE TIPO H GALV 3,450409208,PZ,466.670280746
SOMBRERETE TIPO H GALV 4,450409209,PZ,466.670280746
SOMBRERETE TIPO H GALV 6,450409210,PZ,466.670280746
CURVA CHAPA GALV CORRUGADA 3 ANG 45,450409211,PZ,466.670280746
CURVA CHAPA GALV ARTICULADA 3,450409212,PZ,466.670280746
CAÃ‘O VENTILACION CHAPA GALV 6,450409213,PZ,466.670280746
CORTINA P/BAÃ‘O COMPLETA BLANCA,424566339,PZ,466.7
SELLA ROSCAS DUKE  90 GR,450900139,PZ,467.14
PALA GHERARDI FORJ ANCHA        C/C,450803061,PZ,469.07
CAÃ‘O RIEGO BLUE 1     x 50 MT,451305578,PZ,470.25
RIEGO ROCIA GIRAT C/BASE ACOPLE RAP,450820451,PZ,470.8
COLA A-20 SINTETICA x 24       KG,451305571,PZ,471.2
MECHA EZETA CILIND TITANIO 12.25 MM,424580480,PZ,473.33
TORNILLO TIRAFONDO GALV 3/8 x1,451305324,PZ,473.48
CINTA PASACABLES FLEJE 15 MT,450812705,MT,474.34
PINTURA MATRA AEROSOL NEGRO MATE,451305458,PZ,476.9
CEMENTO 101 DE CONTACTO x 18     LT,451305572,PZ,476.9
CAÃ‘O HIDROCARBURO  8 - 13  x 50 MT,451305594,PZ,476.9
ESQUINERO ANG CROM  100 x 100 MM,450409197,PZ,478.305358099
ESQUINERO ANG CROM   90 x  90 MM,450409198,PZ,478.305358099
CAÃ‘O VENTILACION CHAPA GALV 3,450409199,PZ,478.305358099
CAÃ‘O VENTILACION CHAPA GALV 4,450409200,PZ,478.305358099
ESQUINERO ANG CROM   50 x  50 MM,450409201,PZ,478.305358099
ESQUINERO ANG CROM   38 x  38 MM,450409202,PZ,478.305358099
CURVA CHAPA GALV ARTICULADA 4,450409203,PZ,478.305358099
CURVA CHAPA GALV ARTICULADA 6,450409204,PZ,478.305358099
MACHO URANGA A/RAPIDO M 14 x 1.50,450800572,PZ,479.38
BIS FICHA P/SOLD REF  60-33   x 2.5,450813858,PZ,480.48
TORNILLO TIRAFONDO GALV 3/8 x1 1/4,451305325,PZ,480.51
COLA W-3 RESISTENTE AL AGUA x  1 KG,451305520,PZ,482.41
ADAP PHILLIPS P/AUTOPERF  2 x 50 MM,450803773,PZ,482.52
CADENA P/PERRO N.10 LARGO 1.70 MT,424590192,PZ,483.74
TENSOR ACERO GALV IMP  3/8,450814866,PZ,484.56
TELA M/SOMBRA  50 MT NEGR-VERDE 80%,424582109,CJ,489.42
CINTA TEFLON  1     x 20 MT,424585129,PZ,491.4
CLAVO ACERO GALV 1.7 - 20 x 400,450901079,PZ,493.71
ANAFE 2 HORN ENLOZ C/ROB GAS NAT,450800074,PZ,495.53
GRIFERIA VENUS BIDET BLANCO,450800741,PZ,496.85
PUNTA GHERARDI HEXAGONAL 18-21 350,450812094,PZ,496.98
CLAVO C/CHATA 12-35,450813941,PZ,498.24
PALA GHERARDI ESTAMPADA CARBONERA,450813965,PZ,498.66
MACHO URANGA A/RAPIDO M 20 x 2.00,424573979,PZ,499.2
TORNILLO TIRAFONDO GALV 5/16x1 1/2,451305311,PZ,499.89
FAROL RTO-PICO BRONCE,450802636,PZ,501.48
MECHA EZETA COLA CONICA 53.00 MM,422003008,PZ,501.96
AZADA GHERARDI MENDOCINA 3 1/2  LBS,424595576,PZ,503.67
MAQ ZONTA CORTA CERAMICO 33 CM,451404424,PZ,504.9
CLAVO PUNTA PARIS 4      x 20 KG,424588344,PZ,508.62
TORNILLO TIRAFONDO GALV 5/16x1 1/4,451305581,PZ,510.91
CANDADO 606 30 MM ARCO ALTO  52 MM,451305582,PZ,510.91
TORNILLO TIRAFONDO GALV 1/4 x5,451305583,PZ,510.91
CANDADO 606 40 MM,451305584,PZ,510.91
VENTOSA DE GOMA,424561239,PZ,511.97
TENDEDERO PIE PLEG 8 V ALAMB C/ALAS,450803605,PZ,514.2
MECHA EZETA CILIND TITANIO 12.00 MM,424573100,PZ,514.43
RIEGO REGADOR 1V ACOPLE ESPIGA,424573151,PZ,515.58
MECHA EZETA CILIND TITANIO  6.25 MM,424570584,PZ,515.84
CABEZAL P/CORTINA MOSQUERA  90 CM,451305618,PZ,516.8
TORNILLO TIRAFONDO GALV 3/8 x1 1/2,451305326,PZ,518.7
ESCARDILLO CORAZON Y PALA 67 MM,450815994,PZ,519
CANDADO 606 18 MM,451305579,PZ,520.22
CANDADO 606 25 MM,451305580,PZ,520.22
CANDADO 606 40MM JGO 12 PZS MAESTRO,451305604,PZ,520.22
LIJA AA COLORADO RUBI G.150 FIN,450815487,PZ,527.3
SOPAPA ACERO DE PILETA    50 MM,424593693,PZ,530.3
AZADA GHERARDI CARPIR N.0,424595577,PZ,531.41
MAQ ZONTA RTO-PALANCA 33,424588435,PZ,531.627871123
CORREA SECCION O N.19,450801968,PZ,536.81
MECHA EZETA COLA CONICA 45.75 MM,450819912,PZ,538
ABRAZ AMERICANA 3012   130 - 145 MM,450814069,PZ,538.2
PITON HO PUL ESCUAD  20 -  50 x 100,424564067,PZ,540.54
TEJ ROMBO ACINDAR 180-63-12-10 ML,451305267,PZ,544.92
PINTURA MATRA AEROSOL BERMELLON,451305442,PZ,544.92
PINTURA MATRA AEROSOL BLANCO,451305443,PZ,544.92
MECHA EZETA COLA CONICA 20.75 MM,450817091,PZ,549.12
CAÃ‘O CONDUIT GALV 1 1/4 x 6.40 MT,424596566,PZ,554.16
CLAVO C/CHATA 10-35,450814057,PZ,555.95
MECHA EZETA CILINDRICA A/R 15.25 MM,450905093,PZ,557.44
GUANTE LATEX P/CORTO 10 1/2,424573152,PZ,557.61
ARGOLLA NIQUELADA 15 MM,450906087,PZ,560
CAÃ‘O CONDUIT GALV   1/2 x 6.40 MT,424566338,CJ,561.5
MECHA EZETA CILINDRICA A/R 19.50 MM,424589579,PZ,561.79
MECHA EZETA COLA CONICA 22.00 MM,450817046,PZ,562.21
CINTA EVEL 215 PROFESIONAL 15 MT,424588135,PZ,562.5
GANCHO CONTRA VIENTO 25 - 170 x 15,424570217,PZ,563.68
GANCHO CONTRA VIENTO 24 - 180 x 15,424570218,PZ,563.68
CLAVO ACERO GALV 1.7 - 25 x 200,424588490,PZ,563.88
BIS FICHA P/SOLD REF 100- 8   x 2.5,450803637,PZ,566.78
GUARDACABO GALV   3/16,450815316,PZ,567.48
CANDADO 606 TRABA PARA TELEFONO,424500055,PZ,567.7
MECHA EZETA CILIND TITANIO  5.75 MM,424580993,CJ,568.26
BANDA AA TELA 100x610 O/A MAD G.120,424564898,PZ,568.4
CURVA CHAPA GALV CORRUGADA 4 ANG 90,450409215,PZ,569.888392706
PASADOR PUERTA CHAPA  22x200 CINC,450409216,PZ,569.888392706
CLAVO ACERO ESC GALV 3.0 - 40 x100,450811137,PZ,569.92
CLAVO ESCUADRA PUL 25 - 120,450815773,PZ,569.92
CLAVO ACERO ESC GALV 4.5 -120 x 50,424588483,PZ,570.623253296
BANDA AA TELA 100x620 O/A MAD G. 80,424595639,PZ,571.83
CLAVO ACERO ESC GALV 3.0 - 30 x100,450815389,PZ,573.3
AEROSOL PENETRIT 312 GRASA GRAF 180,424591405,PZ,576.31
HORQUILLA GHERARDI 4 PUAS C/LARGO,450409110,PZ,576.339524703
HORQUILLA GHERARDI 5 PUAS C/CORTO,450409111,PZ,576.339524703
BROCA MANUAL - MANGO BTU36 3/16,450812119,PZ,578.28
GUARDACABO GALV   9/16,450819595,PZ,580.96
CLAVO C/CHATA  6-12,424564412,PZ,581.94
MECHA EZETA WIDIA CORTA  5 MM,424580483,PZ,582.94
BANDA AA TELA 100x610 O/A MAD G.100,424565501,PZ,583.6
ARGOLLA NIQUELADA 18 MM,451301147,PZ,585.1
TENSOR ACERO GALV IMP  9/16,450803638,PZ,585.99
PASADOR PUERTA CHAPA  22x180 CINC,450409217,PZ,586.246620271
RODILLO P/CEMENTISTA 170 MM,450409218,PZ,586.246620271
ESQUINERO ANG CROM   76 x  76 MM,450409246,PZ,586.8226142
ESQUINERO ANG CROM   64 x  64 MM,450409247,PZ,586.8226142
ESQUINERO ANG CROM   25 x  25 MM,450409248,PZ,586.8226142
SELLADOR S-28 SILIC BLANCO 300 GR,450802565,PZ,588.12
CINTA PVC P/SILLON NARANJA  x 50 MT,451305540,PZ,590.52
CANILLA MET SIMPLE P/LAVARROPA 1/2,451305630,PZ,590.52
GRAMPA P/CORREA N.65,450803885,PZ,591.76
MAQ ZONTA PERFORADORA PARA TALADRO,422000808,CJ,594.77
GANCHO J P/GALPON COMP 1/4 x  80 MM,450815468,PZ,602.04
CLAVO ACERO ESC GALV 3.5 - 50 x100,450803724,PZ,607.36
COLA W-3 RESISTENTE AL AGUA x  6 KG,451305521,PZ,607.62
CEMENTO 81 DE CONTACTO  x 18     LT,451305551,PZ,607.62
MECHA EZETA CILIND TITANIO  7.00 MM,450303138,PZ,608.49
MECHA EZETA DE CENTRAR 2.00 MM,424572202,PZ,610.76
MECHA EZETA WIDIA BOSCH 18 x 300 MM,450812987,PZ,612.03
CARCIMA 1004 JARDIN 3 PIEZAS,424573287,PZ,618.8
HILO CHORICERO 10 x 100 GR,424570095,PZ,622.8
MECHA EZETA WIDIA CORTA 12 MM,424572390,PZ,622.8
AEROSOL PENETRIT 802 GRAF SPRAY 115,451102176,PZ,630.85
CINTA TEJ P/SILLON VIOLETA   x 100 MT,451305536,PZ,631.37
CINTA PVC P/SILLON AMARILLO x 50 MT,451305537,PZ,631.37
CINTA PVC P/SILLON AZUL     x 50 MT,451305538,PZ,631.37
CINTA PVC P/SILLON BLANCO   x 50 MT,451305539,PZ,631.37
CAÃ‘O RIEGO BLUE   1/2 x 25 MT,451305573,PZ,632.51
CAÃ‘O RIEGO BLUE   3/4 x 25 MT,451305575,PZ,632.51
CAÃ‘O RIEGO BLUE   3/4 x 50 MT,451305576,PZ,632.51
PINTURA MATRA AEROSOL BLANCO MATE,451305444,PZ,635.74
PINTURA MATRA AEROSOL CELESTE,451305445,PZ,635.74
CLAVO ESCUADRA PUL 21 -  80,450812990,PZ,641.77
NIVEL EVEL ALUMINIO  45 CM,450805138,PZ,642.72
LEBRILLO CHAPA GALV REF N.16  18 LT,450409234,PZ,643.385217963
PALA GHERARDI POCERA C/HIERRO,450409235,PZ,643.385217963
ESPATULA S JUANA ENDUIR 200 MM,450409236,PZ,643.385217963
ESPATULA S JUANA ENDUIR 220 MM,450409237,PZ,643.385217963
ABRAZ GALV CAÃ‘O ELECTRICIDAD 1 1/4,450409238,PZ,643.385217963
ABRAZ GALV CAÃ‘O ELECTRICIDAD 1,450409239,PZ,643.385217963
ABRAZ GALV CAÃ‘O ELECTRICIDAD   7/8,450409240,PZ,643.385217963
ABRAZ GALV CAÃ‘O ELECTRICIDAD   3/4,450409241,PZ,643.385217963
ABRAZ GALV CAÃ‘O ELECTRICIDAD   5/8,450409242,PZ,643.385217963
GANCHO ESTIRA TEJ GALV 5/16 x  7,424574046,PZ,645.84
GANCHO CONTRA VIENTO 24 - 140 x 15,450400733,PZ,648.96
CAÃ‘O RIEGO GREEN   1/2 x 50 MT,451305636,PZ,650.18
RIEL RTO-TOPE PLAST 1 TIRAJE  x  10,450905468,PZ,653.11
CORTINA P/BAÃ‘O RTO-PROTECT CELESTE,450812373,PZ,654.99
ABRAZ AMERICANA 3007    70 -  85 MM,450802576,PZ,655.04
MECHA EZETA COLA CONICA 48.75 MM,450815815,PZ,656.24
PINTURA MATRA AEROSOL CREMA,451305446,PZ,658.73
CABLE CORDON  3.0 MM 1 x 19,424593566,PZ,665
CABLE CORDON  3.5 MM 1 x 19,424593567,PZ,665
CABLE CORDON  4.0 MM 1 x 19,424593568,PZ,665
MECHA EZETA COLA CONICA 33.75 MM,450800955,PZ,665.6
MECHA EZETA CILIND TITANIO  4.25 MM,424581100,PZ,680.1
TORNILLO TIRAFONDO GALV 5/16x5 1/2,451305323,PZ,681.34
PINTURA MATRA AEROSOL AMARILLO MEDIO,451305438,PZ,683.62
PINTURA MATRA AEROSOL AZUL MARINO,451305439,PZ,683.62
TORNILLO TIRAFONDO GALV 5/16x1 3/4,451305312,PZ,689.89
TORNILLO TIRAFONDO GALV 5/16x2,451305313,PZ,689.89
TORNILLO TIRAFONDO GALV 5/16x2 1/4,451305314,PZ,689.89
TORNILLO TIRAFONDO GALV 5/16x2 1/2,451305315,PZ,689.89
AEROSOL PENETRIT 311 GRASA LIT  180,451100003,PZ,698.85
CINTA EVEL 220 PROFESIONAL 20 MT,450818533,PZ,700
MACHO TAP A/LAMINADO NF   10  x 32,424594393,PZ,700.5
CLAVO C/REDONDA 12-20,424590303,PZ,706.15
MECHA EZETA WIDIA CORTA 18 MM,424580487,CJ,716.22
MECHA EZETA WIDIA LARGA 400 12 MM,424564981,PZ,722.03
CEMENTO 81 DE CONTACTO  x  4     LT,451305457,PZ,726.94
CAÃ‘O RIEGO BLUE   1/2 x 50 MT,451305574,PZ,726.94
GRAMPA PRENSA CABLE GALV   3/16,424566108,PZ,734.61
MACHO URANGA A/ALEADO M 10 x 1.00,424594249,PZ,735
BANDA AA TELA 100x610 O/A MAD G. 50,424564417,PZ,735.84
GRAMPA P/CAJONERO 12-16,450811235,PZ,749.77
TELA MOSQ ALUM UNIV 0.82 x 30.0 MT,450600365,PQ,749.86
ANTIPARRA CAJA ENTERA  C/VENT ELEV,450409233,PZ,767.6847077
CLAVO CAJ PULIDO FRACC  18-100,424588706,PZ,773.5
BARRAL 0.40MT C/LLAVE GARRAFA 10 KG,450925376,PZ,775.76
MECHA EZETA CILINDRICA A/R 19.75 MM,424589580,PZ,776.96
MECHA EZETA CILINDRICA A/R 17.25 MM,424589581,PZ,776.96
SOPORTE ANGULO P/RIEL T/AMER LARGO,450400581,PZ,778.08
MECHA EZETA CILINDRICA A/R 16.50 MM,424589588,PZ,780
BISAGRA T/1842 25 MM,450904964,PZ,784.21
PITON HO PUL ESCUAD  22 -  60 x 100,451404407,PZ,787.11
ESTAÃ‘O ALAMBRE C/RESINA 40% x 1 KG,450409128,PZ,787.498898835
ESTAÃ‘O ALAMBRE C/RESINA 50% x 1 KG,450409129,PZ,787.498898835
ESTAÃ‘O ALAMBRE C/RESINA 40% x 10 U,450409130,PZ,787.498898835
MECHA EZETA CILIND TITANIO  2.75 MM,424588482,PZ,790.4
CABLE CORDON  5.0 MM 1 x 19,424565591,PZ,799.07
BROCHE A PALANCA HO PULIDO,424588997,PZ,799.75
MECHA EZETA DOBLE PUNTA 4.20 MM,424581688,PQ,803.08
MECHA EZETA CILIND TITANIO  7.75 MM,424572203,PZ,810.28
CANDADO 606 38 MM,451305455,PZ,817.76
CANDADO 606 50MM JGO 12 PZS COMB,451305611,PZ,817.76
POLIET SIXCOM 4 x 100 x 100 NEGRO,450814933,PZ,819
MECHA EZETA COLA CONICA 60.00 MM,424573178,PZ,819.35
SOMBRERETE DOBLE ALA GALV 3,450409205,PZ,820.906546679
ESPATULA S JUANA ENDUIR 100 MM,451305187,PZ,828
ESC BARREHOJA EL ABUELO REGULABLE,451305188,PZ,828
HORM ALLEMANDI LIQ  12 x 500 CM3,451305356,PZ,828.78
PITON S/TOPE ESCUAD  BCE 19-50 x 50,424596201,PZ,830.79
MECHA EZETA DE CENTRAR 1.00 MM,424572357,PZ,832.59
HORQUILLA GHERARDI 5 PUAS C/LARGO,450409112,PZ,834.500003389
HORQUILLA GHERARDI 6 PUAS C/CORTO,450409113,PZ,834.500003389
POLIET SIXCOM 8 x 200 x  50 NEGRO,451305451,PZ,835.05
POLIET SIXCOM 8 x 100 x  50 NEGRO,451305452,PZ,835.05
CAJA METALICA A1 12x17x30 1 BANDEJA,451305450,PZ,835.06
GARRAFAS 3 KG,424576699,PZ,835.59
CACEROLA FUND ENLOZADA N. 8,424591402,PZ,838.48
FLUIDO ALLEMANDI DESINFECT  12x500,451305380,PZ,840.75
LLAVE PASO DUKE METAL ESFERA   1/2,451305381,PZ,840.75
CANDADO 606 30 MM,451305456,PZ,840.75
CANDADO 606 IMIT 32 MM TRABA SIMPLE,451305612,PZ,840.75
ESCARDILLO PALA Y 2 PUAS 59 MM,451305193,PZ,841.9
MECHA EZETA DOBLE PUNTA 6.10 MM,424572201,PZ,844.66
POLIET SIXCOM 6 x 200 x  50 CRISTAL,424594365,PZ,850
GANCHO J P/GALPON      1/4 x 100 MM,450817509,PZ,850
MECHA EZETA CILIND TITANIO  7.25 MM,450600134,PZ,850.18
CINTA PVC P/SILLON ROJO     x 50 MT,451305541,PZ,852.53
CINTA PVC P/SILLON VERDE    x 50 MT,451305542,PZ,852.53
CARCIMA 3329 TIJERA PODA MANUAL,450409118,PZ,852.931809095
ESTUFA FUND RECTANGULAR 65x36x26,450409119,PZ,852.931809095
MECHA EZETA CILIND TITANIO  5.25 MM,424572002,PZ,853.61
MECHA EZETA CILIND TITANIO  2.25 MM,424589304,PZ,854.01
CLAVO CAJ PULIDO FRACC  18-164,424588705,PZ,855.2
MECHA NEIKE WIDIA CORTA 12 MM,450805436,PZ,855.33
PINTURA MATRA AEROSOL AZUL TRAFUL,451305440,PZ,862.22
PINTURA MATRA AEROSOL BEIGE,451305441,PZ,862.22
PITON HO PUL ESCUAD  23 -  60 x 100,450818815,PZ,862.492183826
DESINFECT ALLEMANDI PINO    12x1 LT,451305379,PZ,863.36
LLAVE PASO DUKE METAL ESFERA   3/4,451305382,PZ,863.36
CANDADO 606 IMIT 38 MM TRABA SIMPLE,451305613,PZ,863.36
CABEZAL P/CORTINA MOSQUERA  70 CM,451305616,PZ,863.36
MECHA EZETA CILIND TITANIO  4.50 MM,450901211,PZ,864.23
CANDADO 606 IMIT 50 MM TRABA SIMPLE,451305614,PZ,865.78
LIJA AA FENOB G. 40   150 x 45000,450812184,PZ,866.96
CLAVO ESPIRALADO FRACC  1,450812917,PZ,869.79
MACHO TAP A/LAMINADO NF  3/8  x 24,450817203,PZ,878.8
PLANCHUELA 1518 6     x   3/8,451305416,PZ,879.13
PALANQ  LAMINADA 1010  76.20 MM,450303175,PZ,884
MECHA EZETA CILIND TITANIO  8.75 MM,424581050,CJ,885.3
LLAVE PASO DUKE METAL ESFERA 1,451305383,PZ,885.78
LLAVE PASO DUKE METAL ESFERA 1 1/4,451305384,PZ,885.78
ESCARDILLO CORAZON Y PALA 59 MM,450819182,PZ,886.485528124
BALDE CHAPA GALV REF N.10   8 LT,450409223,PZ,888.18263751
CURVA CHAPA GALV CORRUGADA 6 ANG 90,450409224,PZ,888.18263751
GANCHO ESTIRA TEJ GALV 5/16 x  9,424595689,PZ,893
GANCHO ESTIRA TEJ GALV 5/16 x 10,424595690,PZ,893
GANCHO ESTIRA TEJ GALV 5/16 x  8,424595691,PZ,893
MACHO URANGA A/RAPIDO NF    10 x 32,450814029,PZ,898.56
GANCHO P/ARMARIO BCE 30 MM x 100,424588703,PZ,900
CUCHARA GHERARDI SOLDADA N. 7 ROMA,450409124,PZ,904.771262646
CUCHARA GHERARDI SOLDADA N. 8,450409125,PZ,904.771262646
CUCHARA GHERARDI SOLDADA N. 8 ROMA,450409126,PZ,904.771262646
ESTAÃ‘O ALAMBRE C/RESINA 33% x 1 KG,450409127,PZ,904.771262646
ESTAÃ‘O ALAMBRE C/RESINA 50% x 10 U,450409131,PZ,904.771262646
LIMPIA PILETA EL ABUELO C/CABO,450409132,PZ,904.771262646
CANDADO 606 IMIT 63 MM TRABA SIMPLE,451305615,PZ,908.39
CLAVO CAJ PULIDO 14- 40 x 30 KG,451100029,PZ,911.06
MECHA EZETA WIDIA CORTA 16 MM,424581736,PQ,911.85
DISCO XPERT   MAQ SENS 400x3x25 O/A,451305405,PZ,915.8
PLANCHUELA 1518 5     x   1/2,451305406,PZ,915.8
MEMBRANA AUTOADHESIVA 10 CM x 10 MT,451305407,PZ,915.8
MAQ K-10 CORTA CERAMICO 50 CM,450818695,PZ,920
MENSULA DOBLE BLANCA 370 MM,450818379,PZ,920.93
GANCHO CONTRA VIENTO 18 -  40 x 50,450813872,PZ,921.44
CAÃ‘O CONDUIT GALV 3     x 6.40 MT,424596612,PZ,921.57
FRATACHO PINO 12 x 35 CM,450409149,PZ,924.931050139
DISCO XPERT   C/D 178x6.4x22.2 O/A,451305394,PZ,937.08
RODILLO P/CEMENTISTA 120 MM,450409195,PZ,938.524506847
ESCUADRA S JUANA MILIMETRADA 25 CM,450409245,PZ,938.524506847
LLAVE PASO DUKE METAL ESFERA 1 1/2,451305385,PZ,942.59
CABO P/MARTILLO RECTO 0.35 MT,450409272,PZ,943.944505456
MECHA EZETA CILINDRICA A/R  0.40 MM,450819826,PZ,950
SOMBRERETE DOBLE ALA GALV 4,450409206,PZ,955.113131984
CAÃ‘O CONDUIT GALV 4     x 6.40 MT,424596613,PZ,955.88
MEMBRANA AUTOADHESIVA 15 CM x 10 MT,451305409,PZ,957.79
MEMBRANA AUTOADHESIVA 25 CM x 10 MT,451305410,PZ,957.79
PLANCHUELA 1518 5     x   3/8,451305411,PZ,957.79
PALA GHERARDI FORJ CORAZON      C/C,450819438,PZ,958
MACHO URANGA A/ALEADO M 14 x 1.25,450812925,PZ,959.92
CAÃ‘O CONDUIT GALV 1     x 6.40 MT,450812285,PZ,970.91
MECHA EZETA CILIND TITANIO 12.75 MM,424564982,PZ,980.91
MALLA Q 84 2.15x50 MT 150x150x4.0 MM,424596614,PZ,995.1
MECHA EZETA CILIND TITANIO  3.75 MM,450901212,PZ,998.64
MECHA EZETA CILIND TITANIO  3.50 MM,450901214,PZ,998.64
CAÃ‘O RIEGO GREEN   3/4 x 50 MT,451305635,PZ,998.83
LLAVE PASO DUKE METAL ESFERA 2,451305386,PZ,999.59
POLIET ECO 3 x 100 x 100 CRISTAL,451305631,PZ,999.59
CLAVO ACERO GALV 3.0 - 40 x 100,451404401,PZ,1005.39
BROCA MANUAL - MANGO BTU38 3/8,450812948,PZ,1006.72
MECHA EZETA COLA CONICA 50.00 MM,451301764,PZ,1009.35
TENSOR ACERO GALV IMP  5/8,450802152,PZ,1012.75
PITON C/TOPE ABIERTO BCE 19-50 x100,424564364,PZ,1013.96
MACHO URANGA A/ALEADO BSP  1/8 x 28,424594623,PZ,1014.37
MECHA NEIKE WIDIA LARGA 250 10 MM,450801720,PZ,1014.58
ARCO SIERRA CARNICERO C/HOJA 520 MM,424599732,PZ,1017.24
PITON C/TOPE CERRADO BCE 16-35 x200,424585296,PZ,1026.72
PITON C/TOPE CERRADO BCE 17-40 x200,424588323,PZ,1026.72
DISCO AA NO PAST 6 PERF 154  G.180,424596168,PZ,1027.2
DISCO AA NO PAST 6 PERF 154  G.150,424596171,PZ,1027.2
DISCO AA NO PAST 6 PERF 154  G.120,424596172,PZ,1027.2
DISCO AA NO PAST 6 PERF 154  G.100,424596173,PZ,1027.2
DISCO AA NO PAST 6 PERF 154  G. 80,424596174,PZ,1027.2
BANDA AA TELA  75x508 O/A MAD G.120,450800579,PZ,1028.86
